Tahun,Data
2015-12-1,"307,285.39"
2016-1-1,
2016-2-1,
2016-3-1,"307,373.81"
2016-4-1,
2016-5-1,
2016-6-1,"311,036.38"
2016-7-1,
2016-8-1,
2016-9-1,"324,001.99"
2016-10-1,
2016-11-1,
2016-12-1,"323,758.05"
2017-1-1,
2017-2-1,
2017-3-1,"323,737.42"
2017-4-1,
2017-5-1,
2017-6-1,"328,325.83"
2017-7-1,
2017-8-1,
2017-9-1,"341,798.90"
2017-10-1,
2017-11-1,
2017-12-1,"340,511.95"
2018-1-1,
2018-2-1,
2018-3-1,"339,691.64"
2018-4-1,
2018-5-1,
2018-6-1,"347,008.26"
2018-7-1,
2018-8-1,
2018-9-1,"360,116.60"
2018-10-1,
2018-11-1,
2018-12-1,"360,556.51"
2019-1-1,
2019-2-1,
2019-3-1,"357,092.58"
2019-4-1,
2019-5-1,
2019-6-1,"364,618.75"
2019-7-1,
2019-8-1,
2019-9-1,"376,648.13"
2019-10-1,
2019-11-1,
2019-12-1,"376,325.65"
2020-1-1,
2020-2-1,
2020-3-1,"351,048.99"
2020-4-1,
2020-5-1,
2020-6-1,"308,718.51"
2020-7-1,
2020-8-1,
2020-9-1,"333,089.69"
2020-10-1,
2020-11-1,
2020-12-1,"340,751.77"
2021-1-1,
2021-2-1,
2021-3-1,"336,088.07"
2021-4-1,
2021-5-1,
2021-6-1,"340,929.71"
2021-7-1,
2021-8-1,
2021-9-1,"332,299.98"
2021-10-1,
2021-11-1,
2021-12-1,"358,853.62"
2022-1-1,
2022-2-1,
2022-3-1,"359,760.02"
2022-4-1,
2022-5-1,
2022-6-1,"373,953.79"
2022-7-1,
2022-8-1,
2022-9-1,"375,064.63"
2022-10-1,
2022-11-1,
2022-12-1,"387,764.48"
2023-1-1,
2023-2-1,
2023-3-1,"388,132.27"
2023-4-1,
2023-5-1,
2023-6-1,"402,378.55"
2023-7-1,
2023-8-1,
2023-9-1,"403,857.80"
2023-10-1,
2023-11-1,
2023-12-1,"415,834.62"
2024-1-1,
2024-2-1,
2024-3-1,"413,015.72"
2024-4-1,
2024-5-1,
2024-6-1,"429,891.83"
2024-7-1,
2024-8-1,
2024-9-1,"430,268.71"
2024-10-1,
2024-11-1,
2024-12-1,"442,673.80"
